Opponent,Turns,Map,Avarage turn time
java GreedyBot5,14,maps/8planets/map3.txt,1
java GreedyBot5,12,maps/8planets/map2.txt,2
java GreedyBot5,12,maps/8planets/map1.txt,1
java GreedyBot6,11,maps/8planets/map1.txt,2
java GreedyBot6,12,maps/8planets/map2.txt,2
java GreedyBot6,12,maps/8planets/map1.txt,2
java GreedyBot6,13,maps/8planets/map3.txt,2
java GreedyBot6,11,maps/8planets/map2.txt,2
java GreedyBot6,14,maps/8planets/map3.txt,1
java GreedyBot7,14,maps/8planets/map3.txt,1
java GreedyBot7,12,maps/8planets/map1.txt,2
java GreedyBot7,12,maps/8planets/map2.txt,2
java GreedyBot8,14,maps/8planets/map3.txt,1
java GreedyBot8,12,maps/8planets/map2.txt,1
java GreedyBot8,12,maps/8planets/map1.txt,2
java GreedyBot9,12,maps/8planets/map1.txt,1
java GreedyBot9,14,maps/8planets/map3.txt,2
java GreedyBot9,12,maps/8planets/map2.txt,2
java GreedyBot10,12,maps/8planets/map1.txt,1
java GreedyBot10,14,maps/8planets/map3.txt,2
java GreedyBot10,11,maps/8planets/map2.txt,2
java GreedyBot10,13,maps/8planets/map3.txt,1
java GreedyBot10,12,maps/8planets/map2.txt,1
java GreedyBot10,11,maps/8planets/map1.txt,2
java GreedyBot11,14,maps/8planets/map3.txt,1
java GreedyBot11,13,maps/8planets/map3.txt,1
java GreedyBot11,12,maps/8planets/map1.txt,2
java GreedyBot11,12,maps/8planets/map2.txt,1
java GreedyBot11,11,maps/8planets/map1.txt,2
java GreedyBot11,11,maps/8planets/map2.txt,2
java GreedyBot12,56,maps/8planets/map2.txt,0
java GreedyBot14,12,maps/8planets/map1.txt,1
java GreedyBot14,11,maps/8planets/map1.txt,2
java GreedyBot14,12,maps/8planets/map2.txt,2
java GreedyBot14,14,maps/8planets/map3.txt,2
java GreedyBot14,11,maps/8planets/map2.txt,2
java GreedyBot14,13,maps/8planets/map3.txt,2
java GreedyBot15,13,maps/8planets/map3.txt,2
java GreedyBot15,11,maps/8planets/map1.txt,2
java GreedyBot15,11,maps/8planets/map2.txt,2
java GreedyBot15,12,maps/8planets/map1.txt,2
java GreedyBot15,12,maps/8planets/map2.txt,1
java GreedyBot15,14,maps/8planets/map3.txt,1
